City,Category,level,Province,Consumption-yagao,Consumption-myl,Consumption-msg,Consumption-xmn,PCPpercent,PPUW-yagao,PPUW-myl,PPUW-msg,PPUW-xmn,PMs-yagao,PMs-myl,PMs-msg,PMs-xmn,EF-yagao,EF-myl,EF-msg,EF-xmn,TC13,TC14,TC23,TC24,TC25,TC313,TC46,TC47,TC48,TC49,TC514,TC515,TC516,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1116,TC1318,TC1319,TC1617,TC1618,TC1819,TC1820
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,0.116161278,0.109403974,0.013928321,0.092855474,0.00040182,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,0.472721442,0.44522241,0.056681677,0.377877844,0.000293705,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,0.934132489,0.879792372,0.11200718,0.746714534,5.37E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,0.417706979,0.393408235,0.050085166,0.333901107,0.00019039,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,0.917202243,0.863846988,0.109977159,0.733181057,2.96E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,0.600511218,0.565578433,0.072004313,0.480028754,9.82E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,0.299371985,0.281956994,0.035896206,0.239308037,4.09E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,0.646106243,0.608521115,0.077471386,0.516475905,0.000303497,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,0.33560059,0.316078118,0.040240197,0.268267982,5.65E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,0.205884511,0.19390785,0.024686588,0.164577251,0.000134932,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Baiyin City,Medium-small-cities,1,Gansu Province,0.30764271,0.289746597,0.036887907,0.24591938,8.78E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Baise City,Medium-small-cities,1,Guangxi Zhuang Autonomous Region,0.651655405,0.613747473,0.078136758,0.520911721,8.64E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Bengbu City,Medium-small-cities,1,Anhui Province,0.682688298,0.642975128,0.081857758,0.545718386,9.11E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Baotou City,Medium-small-cities,1,Inner Mongolia Autonomous Region,0.511972042,0.482189735,0.061388021,0.409253473,2.51E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Baoji City,Medium-small-cities,1,Shaanxi Province,0.664662358,0.625997789,0.079696357,0.531309047,0.000146933,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Baoding City,Largecities,1,Hebei Province,1.953378221,1.839746801,0.234219866,1.561465772,3.31E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.44,0.56,0.02,0.02,0.96,1,0.02,0.676347368,0.282652632,0.021,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Baoshan City,Medium-small-cities,1,Yunnan Province,0.464786493,0.437749052,0.055730236,0.37153491,0.00010344,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Beihai City,Medium-small-cities,1,Guangxi Zhuang Autonomous Region,0.300556042,0.283072172,0.03603818,0.240254533,5.68E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.99,0.01,0.35,0.65
