City,Category,level,population,synthetic fibers,FrequencyMW,FrequencyHW,EF-MW,EF-HW,Load-MW,Load-HW,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,8.141492969,0.61578,76.01,63.02,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,31.35653355,0.61578,76.01,67.05,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,61.8664978,0.61578,76.01,69.77,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,28.92291118,0.61578,76.01,62.75,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,61.45547175,0.61578,76.01,62.47,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,38.65661008,0.61578,76.01,70.86,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,19.91987944,0.61578,76.01,65.59,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,41.98949754,0.61578,76.01,65.15,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,21.63206002,0.61578,76.01,68.85,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,13.27085304,0.61578,76.01,68.85,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baiyin City,Medium-small-cities,1,20.70185209,0.61578,76.01,66.46,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baise City,Medium-small-cities,1,44.84852837,0.61578,76.01,75.19,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bengbu City,Medium-small-cities,1,45.21364429,0.61578,76.01,69.77,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baotou City,Medium-small-cities,1,34.06605121,0.61578,76.01,65.59,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoji City,Medium-small-cities,1,44.08834822,0.61578,76.01,67.05,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoding City,Largecities,1,109.9029002,0.61578,76.01,60.55,64,12.2256,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.5352947370000001,0.22370526300000002,0.221,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoshan City,Medium-small-cities,1,31.62122813,0.61578,76.01,68.55,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Beihai City,Medium-small-cities,1,20.68500629,0.61578,76.01,75.19,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Beijing,Megacities,1,104.2987164,0.61578,76.01,60.69,64,12.2256,5,3.8,0.14,0.86,0.1,0.5,0.4,1,1,0.02,0.199081967,0.559918033,0.221,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Benxi City,Medium-small-cities,1,16.43872912,0.61578,76.01,70.86,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bijie City,Medium-small-cities,1,84.42905651,0.61578,76.01,62.75,64,12.2256,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
