City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,15.24234879,12.62632457,4.311179395,132,26.57251529,85,0.547084275,104,0.078216482,7.496661948,159,46.20665159,102,0.9513187670000001,125,0.106050275,13.89157805,415,85.62254927,267,1.7628271080000002,326,1.7168870059999999,2.651821901,159,16.34484941,102,0.336513499,125,0.10147003,3.093792217,658,19.06899098,423,0.39259908200000004,517,0.613400426,6.629554751000001,850,40.86212353,546,0.8412837470000001,668,0.00029213599999999997,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,23.80790604,21.34923811,0.347132139,132,4.261905651,85,0.126364641,104,0.06099681,0.60362422,159,7.410980381,102,0.21973407,125,0.151428127,1.118536893,415,13.7328071,267,0.407174954,326,1.564639101,1.099643999,159,13.50085009,102,0.400297475,125,0.058514382000000004,1.2829179990000001,658,15.75099177,423,0.467013721,517,0.623089506,2.7491099969999997,850,33.75212523,546,1.000743689,668,0.002415237,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,68.88659733,58.998704000000004,0.430077792,132,3.138691443,85,0.08493371300000001,104,0.188348088,0.747857495,159,5.457835675,102,0.14769029,125,0.433124347,1.38580622,415,10.11356132,267,0.273675297,326,5.868529887999999,0.6823585659999999,159,4.979826977,102,0.134755264,125,0.241726088,0.7960849940000001,658,5.80979814,423,0.157214475,517,3.156164918,1.7058964159999999,850,12.44956744,546,0.336888161,668,5.8353e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,37.51390973,32.48027766,3.761746496,132,16.93446953,85,0.9198086040000001,104,0.13386189099999998,6.541259183999999,159,29.4471609,102,1.5994449609999999,125,0.22027009600000003,12.12118315,415,54.56662403,267,2.9638277239999997,326,3.8161263,3.790353403,159,17.06325088,102,0.926803461,125,0.207521345,4.42207897,658,19.90712602,423,1.081270705,517,0.6558524410000001,9.475883507,850,42.65812719,546,2.3170086530000003,668,0.00018016900000000002,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,104.8675922,92.55912493,1.078291622,132,3.342435361,85,0.131828976,104,0.238434908,1.87502932,159,5.812123712000001,102,0.229235942,125,0.517371089,3.474495225,415,10.7700695,267,0.42478225700000005,326,7.520824931,0.6997865790000001,159,2.169164037,102,0.08555398800000001,125,0.258685544,0.8164176759999999,658,2.5306913769999997,423,0.09981298599999999,517,3.773150769,1.7494664480000002,850,5.422910093,546,0.21388497,668,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,72.94042034,63.51785358,0.387981226,132,1.434553028,85,0.09063294,104,0.342143604,0.6746562429999999,159,2.49452832,102,0.157600613,125,0.638327619,1.250161729,415,4.622448645,267,0.29203947399999997,326,5.283650476,1.3579744390000001,159,5.021084041,102,0.31722466899999996,125,0.37788995,1.584303512,658,5.857931381,423,0.370095448,517,2.780555107,3.394936098,850,12.552710099999999,546,0.793061674,668,5.0268999999999996e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,44.52386609,39.03617428,4.497530846,132,16.27291401,85,0.45918923,104,0.09389291699999999,7.820706416,159,28.29678936,102,0.79847905,125,0.235896255,14.49204384,415,52.43494514,267,1.479609741,326,3.445326875,1.197787335,159,4.3338202610000005,102,0.122291778,125,0.114068255,1.397418558,658,5.056123638,423,0.142673741,517,1.598507514,2.9944683380000003,850,10.83455065,546,0.305729445,668,1.48464e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,53.17901873,47.64130323,1.9820555080000002,132,25.6190255,85,0.705077472,104,0.097685034,3.4465742999999995,159,44.54863878,102,1.226051382,125,0.343904845,6.3866233029999995,415,82.55019328,267,2.2719162999999996,326,3.55412945,1.9089034169999999,159,24.67349936,102,0.6790550470000001,125,0.278781489,2.227053986,658,28.78574926,423,0.792230888,517,1.263214684,4.772258541999999,850,61.68374841,546,1.6976376169999998,668,0.000156746,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,33.68081683,29.79006815,0.39148917,132,1.195059324,85,0.05678421,104,0.10051288300000001,0.6807561679999999,159,2.078075379,102,0.09874143099999999,125,0.27078470600000004,1.261465104,415,3.8507467089999996,267,0.182971343,326,2.236786686,1.5413410630000002,159,4.7050956919999996,102,0.223566425,125,0.13726759300000002,1.79823124,658,5.489278307,423,0.260827496,517,1.145396804,3.853352657,850,11.76273923,546,0.558916063,668,5.5313500000000005e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,17.07318508,15.10092079,0.9061082640000001,132,4.016657676,85,0.22560243600000002,104,0.05095111099999999,1.5756215919999998,159,6.984521403,102,0.39229757,125,0.137263815,2.9196821839999996,415,12.94256362,267,0.7269411840000001,326,1.133852343,2.558182293,159,11.34008259,102,0.6369351,125,0.069582488,2.9845460089999998,658,13.23009635,423,0.74309095,517,0.58061453,6.3954557329999995,850,28.35020646,546,1.5923377509999999,668,1.2781199999999999e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
