City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,13.08607378,10.840128199999999,4.301666733,118.8,26.66921438,76.5,0.45989785200000005,93.6,0.067151504,7.480120486000001,143.1,46.37480056,91.8,0.799711265,112.5,0.09104776,13.86092614,373.5,85.93413521,240.3,1.4818930780000001,293.4,1.474005768,2.645970628,143.1,16.40432937,91.8,0.282884817,112.5,0.087115465,3.086965733,592.2,19.13838426,380.7,0.330032287,465.3,0.526625086,6.614926571,765,41.01082342,491.4,0.707212043,601.2,0.000208145,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,21.09463594,18.91617032,0.346761234,118.8,4.282293578,76.5,0.106347618,93.6,0.054045302999999996,0.602979258,143.1,7.446432722000001,91.8,0.184926691,112.5,0.134170607,1.117341755,373.5,13.79850153,240.3,0.342675657,293.4,1.386324869,1.098469048,143.1,13.565434900000001,91.8,0.33688761899999997,112.5,0.051845785,1.281547223,592.2,15.82634072,380.7,0.393035555,465.3,0.5520790560000001,2.74617262,765,33.91358725,491.4,0.842219046,601.2,0.0017208420000000002,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,61.089726600000006,52.32098604,0.429488825,118.8,3.1527560269999997,76.5,0.071458097,93.6,0.16703007,0.746833346,143.1,5.482292424,91.8,0.12425769,112.5,0.38410153799999996,1.383908436,373.5,10.15888053,240.3,0.230253867,293.4,5.204305341,0.681424115,143.1,5.002141752,91.8,0.11337494099999999,112.5,0.214366527,0.7949948,592.2,5.835832045,380.7,0.132270765,465.3,2.798937085,1.703560287,765,12.50535438,491.4,0.283437353,601.2,4.1576099999999997e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,32.39701713,28.04997184,3.7697102719999998,118.8,17.06974115,76.5,0.7765732,93.6,0.11560314599999999,6.555107306,143.1,29.68238323,91.8,1.3503745090000001,112.5,0.190225283,12.14684421,373.5,55.00249927,240.3,2.502291422,293.4,3.295607149,3.7983777410000004,143.1,17.1995512,91.8,0.7824787959999999,112.5,0.179215459,4.431440698,592.2,20.06614307,380.7,0.912891929,465.3,0.56639425,9.495944352,765,42.99887801,491.4,1.9561969909999999,601.2,0.000128369,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,92.36487703,81.5238723,1.078571722,118.8,3.36289035,76.5,0.11109388699999999,93.6,0.210007787,1.8755163830000001,143.1,5.847692665,91.8,0.193179925,112.5,0.45568813,3.4753977710000004,373.5,10.83598002,240.3,0.357969191,293.4,6.624163437999999,0.699968358,143.1,2.1824388569999997,91.8,0.072097389,112.5,0.227844065,0.8166297509999999,592.2,2.546178667,380.7,0.084113621,465.3,3.323301313,1.749920895,765,5.456097142999999,491.4,0.180243474,601.2,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,65.71623322,57.22689917,0.389175494,118.8,1.44739901,76.5,0.07659269099999999,93.6,0.308256914,0.676732942,143.1,2.516866056,91.8,0.13318617900000002,112.5,0.5751061820000001,1.254009925,373.5,4.663841253,240.3,0.24679867,293.4,4.760345572,1.3621545,143.1,5.066046307,91.8,0.268082343,112.5,0.34046286,1.58918025,592.2,5.9103873579999995,380.7,0.312762734,465.3,2.505162529,3.4053862489999998,765,12.66511577,491.4,0.670205858,601.2,3.58164e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,39.37099075,34.51840532,4.492661518999999,118.8,16.35052754,76.5,0.386445029,93.6,0.083026419,7.812239197,143.1,28.43175066,91.8,0.671984968,112.5,0.208595301,14.47635378,373.5,52.68503317,240.3,1.245211761,293.4,3.0465892660000002,1.196490531,143.1,4.35449038,91.8,0.102918463,112.5,0.10086680699999999,1.395905619,592.2,5.080238777,380.7,0.12007154,465.3,1.413507633,2.9912263269999997,765,10.88622595,491.4,0.25729615699999997,601.2,1.0578e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,47.64971944,42.68778904,1.979325982,118.8,25.73362745,76.5,0.593205043,93.6,0.08752821300000001,3.4418279569999997,143.1,44.74791885,91.8,1.0315176590000001,112.5,0.308147269,6.377828163999999,373.5,82.91946624,240.3,1.911438473,293.4,3.1845881169999997,1.90627463,143.1,24.78387168,91.8,0.571311514,112.5,0.249795127,2.223987068,592.2,28.91451696,380.7,0.6665300999999999,465.3,1.13187168,4.765686575,765,61.95967921,491.4,1.428278786,601.2,0.000111681,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,30.32843879,26.82495092,0.391952509,118.8,1.203483255,76.5,0.04789694,93.6,0.09050845800000001,0.681561863,143.1,2.0927236590000002,91.8,0.083287456,112.5,0.24383248899999999,1.262958085,373.5,3.8778904869999997,240.3,0.154334584,293.4,2.014150917,1.543165286,143.1,4.738261745,91.8,0.188576149,112.5,0.123604835,1.8003595000000001,592.2,5.527972036,380.7,0.220005507,465.3,1.031391164,3.857913214,765,11.84565436,491.4,0.47144037200000005,601.2,3.9410500000000005e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,15.37382692,13.5978695,0.9082255920000001,118.8,4.049630093,76.5,0.19051269199999998,93.6,0.045879755999999994,1.5793033909999998,143.1,7.041856772,91.8,0.331280403,112.5,0.123601432,2.926504687,373.5,13.04880808,240.3,0.613874228,293.4,1.020995766,2.564160069,143.1,11.4331724,91.8,0.5378675079999999,112.5,0.062656682,2.99152008,592.2,13.33870114,380.7,0.627512093,465.3,0.522823788,6.410400172,765,28.582931,491.4,1.344668771,601.2,9.10652e-06,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
