City,level,MFs_generation,MW,HW,MFs_emission,ocean,soil,river
Altay Prefecture,1,1.790810699,1.619004003,0.171806696,1.367022093,0.439579953,0.117980012,0.809462128
Ankang City,1,7.227427337,6.491199763,0.736227574,5.505190357,1.76054533,0.49336641,3.251278616
Anqing City,1,14.36124023,12.86046846,1.500771774,10.97170263,3.516074222,0.972112216,6.483516187
Anshun City,1,6.349639473,5.727828026,0.621811447,4.819984384,1.541452912,0.427550108,2.850981364
Anyang City,1,13.83998396,12.50482061,1.335163351,10.52731951,3.374221835,0.923922455,6.229175223
Anshan City,1,9.116693818,8.134291756,0.982402062,6.965395358,2.22180363,0.628820824,4.114770904
Bayannur City,1,4.589479229,4.130330925,0.459148304,3.507352136,1.125694011,0.309231249,2.072426877
Bazhong City,1,9.82090097,8.833582297,0.987318673,7.484088765,2.398223535,0.663858184,4.422007046
Baicheng City,1,5.085010664,4.549910359,0.535100305,3.888868403,1.243161593,0.346766993,2.298939818
Baishan City,1,3.161169929,2.831535881,0.329634048,2.402054801,0.770750576,0.216408602,1.414895623
Baiyin City,1,4.700705026,4.227870064,0.472834962,3.567096904,1.139790495,0.319492174,2.107814236
Baise City,1,9.962396457,8.840633242,1.121763215,7.612614523,2.43113453,0.700515115,4.480964879
Bengbu City,1,10.573338,9.458058352,1.115279643,8.070955012,2.589897551,0.72144059,4.759616871
Baotou City,1,7.814168057,7.038445931,0.775722126,5.949665849,1.905114428,0.524044191,3.52050723
Baoji City,1,10.17790106,9.140555569,1.037345487,7.775481128,2.492151685,0.690472106,4.592857337
Baoding City,1,24.80580458,22.49898137,2.306823207,16.28908574,5.035413511,1.959935828,9.293736398
Baoshan City,1,7.144418787,6.407070874,0.737347914,5.440641417,1.744827563,0.48869519,3.207118664
Beihai City,1,4.67264072,4.13495555,0.53768517,3.565376999,1.398861014,0.331364675,1.83515131
Beijing,1,22.87357245,20.77559557,2.097976878,9.276976112,2.34630595,2.597093202,4.33357696
Benxi City,1,3.91142723,3.492092501,0.419334729,2.980177714,0.954509723,0.269909674,1.755758316
Bijie City,1,18.57355552,16.7774888,1.796066725,14.15205368,4.553918824,1.237758403,8.360376452
Binzhou City,1,10.58732668,9.541551883,1.045774798,8.089265011,3.198321876,0.710700973,4.180242162
Bozhou City,1,18.0315306,16.11494225,1.916588354,13.72843805,4.390596803,1.240807612,8.097033635
Cangzhou City,1,17.81327989,16.16446944,1.648810453,11.67250748,4.446290185,1.416730178,5.809487113
Chamdo City,1,1.985214698,1.739300768,0.245913929,1.523256174,0.484963447,0.143569516,0.894723211
Changde City,1,13.6317353,12.2502974,1.381437902,8.956080038,2.754700405,1.093582889,5.107796745
Changzhou City,1,11.24051974,10.21048305,1.030036695,7.360133223,2.276323788,0.882262018,4.201547417
Chaohu City,1,2.201825088,1.969356593,0.232468495,1.67472326,0.536235377,0.152131912,0.986355971
Chaoyang City,1,9.101541328,8.111994933,0.989546395,6.959025624,2.224663875,0.634115337,4.100246412
Chaozhou City,1,7.268015719,6.465872179,0.80214354,5.548626909,2.188753008,0.507294409,2.852579493
Chenzhou City,1,12.7074171,11.41835298,1.289064117,9.706119518,3.112450583,0.858345563,5.735323373
Chengdu City,1,21.96197194,19.78309709,2.178874849,11.11854328,3.136899601,2.226085091,5.755558588
Chengde City,1,9.525379016,8.631221084,0.894157932,7.252540522,2.327351794,0.629787038,4.29540169
Chizhou City,1,4.342802325,3.875256406,0.467545919,3.30974874,1.058209446,0.298894104,1.95264519
Chifeng City,1,10.22904941,9.208705727,1.020343685,6.707637378,2.074933811,0.829442287,3.80326128
Chongzuo City,1,5.811875859,5.156374503,0.655501357,4.430820553,1.410040315,0.406400299,2.614379939
Chuzhou City,1,12.48221064,11.15194808,1.330262558,9.533678956,3.06436003,0.857339411,5.611979515
Chuxiong Yi Autonomous Prefecture,1,7.62351824,6.833432234,0.790086006,5.809696655,1.868930604,0.519235892,3.421530159
Dazhou City,1,17.7456703,15.9647813,1.780889001,13.55324447,4.354387002,1.187115855,8.01174161
Dali Bai Autonomous Prefecture,1,9.707063679,8.686816592,1.020247087,7.398926098,2.365966378,0.664498141,4.36846158
Dalian City,1,14.16743297,12.63207159,1.535361377,9.331661701,3.536973364,1.159877462,4.634810875
Daqing City,1,7.44086006,6.66245893,0.77840113,5.685150306,1.830622651,0.504522716,3.350004939
Datong City,1,9.465553204,8.456273763,1.009279441,7.218273761,2.304676444,0.651084626,4.262512692
Dandong City,1,6.345167922,5.672634719,0.672533204,4.836579773,1.901460879,0.437325665,2.497793229
Deyang City,1,10.36114949,9.336796079,1.024353408,7.876926911,2.525428208,0.696922283,4.65457642
Dezhou City,1,13.47436489,12.14425499,1.3301099,8.874982507,2.737173909,1.079885159,5.057923439
Diqing Tibetan Autonomous Prefecture,1,1.076575877,0.963736543,0.112839334,0.822858438,0.264044139,0.073340891,0.485473408
Dingxi City,1,7.672127735,6.898463531,0.773664203,5.83701052,1.872856781,0.518148809,3.44600493
Dongguan City,1,22.91743049,20.39113255,2.526297939,17.45156069,6.851381899,1.601944323,8.998234472
Dongying City,1,5.078668252,4.572225691,0.506442561,3.334912522,1.26657823,0.410364133,1.65797016
Ordos City,1,4.919133787,4.419403158,0.499730629,3.240282611,0.998879086,0.397150276,1.844253248
Ezhou City,1,2.848901127,2.533515933,0.315385194,2.177526932,0.698379269,0.198755036,1.280392628
Enshi Tujia and Miao Autonomous Prefecture,1,9.327178112,8.313301345,1.013876766,7.131441267,2.284963522,0.641095595,4.20538215
Fangchenggang City,1,2.653115115,2.348739521,0.304375594,2.034102278,0.800474923,0.186218089,1.047409267
Foshan City,1,12.2175026,10.86436832,1.353134275,6.214776598,1.743219815,1.254061023,3.21749576
Fuzhou City (Fujian),1,11.72966891,10.35037803,1.379290877,5.997377286,2.070394623,1.211974816,2.715007847
Fushun City,1,5.575178322,4.969718282,0.60546004,4.260319928,1.359747652,0.385088023,2.515484253
Fuzhou City (Jiangxi),1,11.42176122,9.870152463,1.551608762,8.7670936,2.780097452,0.862639893,5.124356256
Fuxin City,1,4.92412655,4.394315061,0.529811489,3.753717129,1.20342404,0.339753487,2.210539601
Fuyang City,1,29.26104309,26.18743513,3.073607967,22.33212096,7.143284191,2.008079512,13.18075725
Ganzhou City,1,21.55439815,18.57938612,2.975012027,14.34159275,4.386442774,1.871329952,8.08382002
Guyuan City,1,3.317324745,3.014453841,0.302870904,2.520609354,0.808324393,0.217224464,1.495060497
Guang'an City,1,12.48341051,11.2464607,1.236949817,9.525578699,3.052687293,0.835769692,5.637121713
Guangyuan City,1,8.024612598,7.221484603,0.803127996,6.093268738,1.960296067,0.541275065,3.591697605
Guangzhou City,1,16.4854017,14.64548474,1.839916964,6.838363818,2.157982023,1.877277236,2.80310456
Guigang City,1,11.9919772,10.62919026,1.362786933,9.158307038,2.92706251,0.845152757,5.386091772
Guiyang City,1,11.75311588,10.62955115,1.123564731,7.70567747,2.384011578,0.935249243,4.386416649
Guilin City,1,13.95476574,12.35599236,1.598773379,10.66088386,3.40062376,0.988887709,6.271372392
Harbin City,1,22.7515474,20.39183361,2.359713789,14.98892141,4.626989954,1.838588846,8.523342613
Hami City,1,1.52149427,1.374535533,0.146958737,1.154938096,0.370204125,0.101863601,0.682870369
Haidong City,1,4.664959941,4.203363857,0.461596083,3.546918325,1.137561947,0.315124821,2.094231557
Haikou City,1,6.685777517,5.634742303,1.051035214,5.167975849,1.998550254,0.539817194,2.6296084
Handan City,1,22.39987186,20.31071276,2.089159096,14.64600865,4.528286196,1.779595843,8.33812661
Hanzhong City,1,9.356321098,8.407055054,0.949266044,7.120961462,2.281432416,0.634850926,4.204678119
Hangzhou City,1,11.98316393,10.66812284,1.315041096,6.085364741,1.704187925,1.241108318,3.140068497
Hefei City,1,11.43892228,10.23127594,1.207646339,5.805093387,1.630461031,1.171299626,3.00333273
Hechi City,1,9.709368771,8.609124406,1.100244365,7.406801429,2.354476462,0.688834559,4.363490409
Heyuan City,1,8.449959984,7.511238181,0.938721803,6.471261399,2.069477734,0.588010299,3.813773366
Heze City,1,20.94468213,18.88302017,2.061661962,13.71998333,4.227952249,1.678282999,7.813748086
Hezhou City,1,5.727097631,5.078638043,0.648459588,4.377168743,1.396564033,0.40365288,2.576951831
Hebi City,1,4.376866838,3.954681762,0.422185075,3.327258162,1.063306518,0.293266661,1.970684983
Hegang City,1,2.647824462,2.370930389,0.276894073,2.016948767,0.644685005,0.181900324,1.190363438
Heihe City,1,4.279785864,3.834688174,0.44509769,3.250640566,1.039609123,0.294235385,1.916796058
Hengshui City,1,11.97668558,10.85837515,1.118310423,9.103508926,2.934003628,0.792701408,5.376803891
Hengyang City,1,17.14080663,15.40842357,1.732383056,11.31314422,3.499396164,1.371100753,6.442647305
Honghe Hani and Yi Autonomous Prefecture,1,12.77891267,11.4324824,1.346430267,9.723755561,3.099164182,0.880179005,5.744412374
Hohhot City,1,8.384186814,7.533249384,0.85093743,6.378296401,2.042561865,0.56290622,3.772828316
Hulunbuir City,1,6.817745218,6.129274578,0.688470639,5.178444749,1.665189448,0.463804468,3.049450833
Huludao City,1,7.541503217,6.729942178,0.81156104,5.750101851,2.276031005,0.51907249,2.954998357
Huzhou City,1,6.444687781,5.735569925,0.709117856,4.26100725,1.312984225,0.528851784,2.419171241
Huaihua City,1,13.61238437,12.2528382,1.359546173,10.36189568,3.328359057,0.916657113,6.116879514
Huai'an City,1,11.58054226,10.51862864,1.061913621,7.581172836,2.346749347,0.914980597,4.319442893
Huaibei City,1,6.005566509,5.383790331,0.621776178,4.563691304,1.461583945,0.412423726,2.689683632
Huainan City,1,10.59165706,9.444787204,1.146869855,8.080287595,2.57564371,0.735124139,4.769519746
Huanggang City,1,16.99741506,15.10112486,1.896290197,12.94317531,4.135107567,1.194035551,7.614032192
