City,Category,level,MPs_ge,TWP_ge,MFs_ge,PMs_ge,MPs_em,TWP_em,MFs_em,PMs_em
Altay Prefecture,Medium-small-cities,1,2.086648115,0.295608283,1.790810699,0.000229132,1.660890225,0.293705947,1.367022093,0.000162186
Ankang City,Medium-small-cities,1,7.358797722,0.130684353,7.227427337,0.000686032,5.635514832,0.12983854,5.505190357,0.000485936
Anqing City,Medium-small-cities,1,14.62316062,0.261672995,14.36124023,0.000247397,11.23177592,0.259897779,10.97170263,0.000175517
Anshun City,Medium-small-cities,1,6.852315572,0.502283786,6.349639473,0.000392312,5.31986361,0.499601805,4.819984384,0.00027742
Anyang City,Medium-small-cities,1,14.15449844,0.314380623,13.83998396,0.000133856,10.84010032,0.312685657,10.52731951,9.51E-05
Anshan City,Medium-small-cities,1,9.355983958,0.238999459,9.116693818,0.000290682,7.203173805,0.237572729,6.965395358,0.000205718
Bayannur City,Medium-small-cities,1,5.08723463,0.497695257,4.589479229,6.01E-05,4.002094848,0.494700118,3.507352136,4.26E-05
Bazhong City,Medium-small-cities,1,10.79374801,0.971878808,9.82090097,0.000968237,8.450998825,0.966224708,7.484088765,0.000685352
Baicheng City,Medium-small-cities,1,5.182098499,0.096994382,5.085010664,9.35E-05,3.985358796,0.096424304,3.888868403,6.61E-05
Baishan City,Medium-small-cities,1,3.279844482,0.118537285,3.161169929,0.000137268,2.519936289,0.11778442,2.402054801,9.71E-05
Baiyin City,Medium-small-cities,1,4.850675788,0.149837244,4.700705026,0.000133518,3.715994491,0.148803276,3.567096904,9.43E-05
Baise City,Medium-small-cities,1,10.48764029,0.524966002,9.962396457,0.000277829,8.134522557,0.521711164,7.612614523,0.000196869
Bengbu City,Medium-small-cities,1,10.68148842,0.107843938,10.573338,0.000306487,8.178304841,0.107132258,8.070955012,0.000217571
Baotou City,Medium-small-cities,1,8.503460223,0.689228916,7.814168057,6.33E-05,6.634864224,0.685153707,5.949665849,4.47E-05
Baoji City,Medium-small-cities,1,10.5372457,0.358863467,10.17790106,0.000481176,8.132454292,0.356632434,7.775481128,0.00034073
Baoding City,Largecities,1,25.88730103,1.081177673,24.80580458,0.000318786,17.363087,1.073807926,16.28908574,0.000193336
Baoshan City,Medium-small-cities,1,7.370215872,0.225560004,7.144418787,0.000237081,5.664993734,0.224183976,5.440641417,0.00016834
