City,level,PMs,PMs1,PMs2,yagao,myl,msg,xmn,soil,ocean,river,emission
Altay Prefecture,1,0.000229132,0.000217676,1.15E-05,9.50E-05,4.40E-05,4.20E-05,4.81E-05,9.90E-06,5.35E-05,9.88E-05,0.000162187
Ankang City,1,0.000686032,0.00065173,3.43E-05,0.000285711,0.000130906,0.000125009,0.000144406,2.97E-05,0.000160881,0.000295358,0.000485939
Anqing City,1,0.000247397,0.000235027,1.24E-05,1.03E-04,4.75E-05,4.53E-05,5.21E-05,1.06E-05,5.80E-05,1.07E-04,0.0001756
Anshun City,1,0.000392312,0.000372697,1.96E-05,0.00016242,7.55E-05,7.18E-05,8.26E-05,1.70E-05,9.18E-05,0.000168541,0.000277341
Anyang City,1,0.000133856,0.000127163,6.69E-06,5.55E-05,2.56E-05,2.45E-05,2.83E-05,5.74E-06,3.15E-05,5.79E-05,0.00009514
Anshan City,1,0.000290682,0.000276148,1.45E-05,0.000121081,5.58E-05,5.28E-05,6.10E-05,1.27E-05,6.81E-05,0.000125004,0.000205804
Bayannur City,1,6.01E-05,5.71E-05,3.01E-06,2.49E-05,1.15E-05,1.10E-05,1.27E-05,2.61E-06,1.41E-05,2.59E-05,0.00004261
Bazhong City,1,0.000968237,0.000919825,4.84E-05,0.000402378,0.00018542,0.000176375,0.000204064,4.20E-05,0.000226492,0.000416872,0.000685364
Baicheng City,1,9.35E-05,8.88E-05,4.67E-06,3.88E-05,1.78E-05,1.71E-05,1.97E-05,4.06E-06,2.18E-05,4.02E-05,0.00006606
Baishan City,1,0.000137268,0.000130404,6.86E-06,5.69E-05,2.63E-05,2.51E-05,2.89E-05,5.95E-06,3.21E-05,5.91E-05,0.00009715
Baiyin City,1,0.000133518,0.000126842,6.68E-06,5.54E-05,2.56E-05,2.44E-05,2.81E-05,5.82E-06,3.11E-05,5.74E-05,0.00009432
Baise City,1,0.000277829,0.000263938,1.39E-05,0.000115533,5.31E-05,5.09E-05,5.83E-05,1.20E-05,6.52E-05,0.000119653,0.000196853
Bengbu City,1,0.000306487,0.000291162,1.53E-05,0.000127373,5.84E-05,5.60E-05,6.48E-05,1.32E-05,7.21E-05,0.000132262,0.000217562
Baotou City,1,6.33E-05,6.01E-05,3.16E-06,2.62E-05,1.21E-05,1.16E-05,1.33E-05,2.76E-06,1.48E-05,2.71E-05,0.00004466
Baoji City,1,0.000481176,0.000457117,2.41E-05,0.000199745,9.19E-05,8.80E-05,1.02E-04,2.07E-05,0.000112555,0.00020743,0.000340685
Baoding City,1,3.19E-04,3.03E-04,1.59E-05,1.33E-04,6.10E-05,5.80E-05,6.72E-05,1.94E-05,6.12E-05,1.13E-04,0.0001936
Baoshan City,1,0.000237081,0.000225227,1.19E-05,9.83E-05,4.55E-05,4.33E-05,4.99E-05,1.02E-05,5.56E-05,0.00010259,0.00016839
Beihai City,1,8.40E-05,7.98E-05,4.20E-06,3.50E-05,1.61E-05,1.53E-05,1.76E-05,3.63E-06,2.42E-05,3.17E-05,0.00005953
Beijing,1,0.001137812,0.001080921,5.69E-05,0.000472995,0.000218861,0.000207322,0.000238633,0.000116872,1.04E-04,0.000192203,0.000413075
Benxi City,1,0.000182009,0.000172909,9.10E-06,7.54E-05,3.49E-05,3.33E-05,3.84E-05,7.94E-06,4.25E-05,7.83E-05,0.00012874
Bijie City,1,0.001123554,0.001067376,5.62E-05,0.000468225,0.000214282,0.000204415,0.000236633,4.93E-05,0.000261186,0.000482042,0.000792528
Binzhou City,1,0.000150857,0.000143314,7.54E-06,6.25E-05,2.90E-05,2.76E-05,3.18E-05,6.50E-06,4.33E-05,5.70E-05,0.0001068
Bozhou City,1,0.000223057,0.000211904,1.12E-05,9.25E-05,4.26E-05,4.07E-05,4.72E-05,9.64E-06,5.21E-05,9.63E-05,0.00015804
Cangzhou City,1,1.44E-04,1.36E-04,7.18E-06,5.95E-05,2.77E-05,2.62E-05,3.02E-05,8.73E-06,3.39E-05,4.46E-05,0.00008723
Chamdo City,1,0.001410142,0.001339635,7.05E-05,0.000586351,0.000269581,0.000256344,0.000297866,6.12E-05,0.000330822,0.000606863,0.000998885
Changde City,1,0.000585574,0.000556295,2.93E-05,0.000242438,0.000112705,1.06E-04,0.000124092,3.60E-05,0.000111852,0.000206025,0.000353877
Changzhou City,1,0.00018822,0.000178809,9.41E-06,7.81E-05,3.61E-05,3.43E-05,3.98E-05,1.15E-05,3.59E-05,6.62E-05,0.0001136
Chaohu City,1,0.000306437,0.000291115,1.53E-05,0.000127206,5.86E-05,5.63E-05,6.44E-05,1.32E-05,7.17E-05,0.00013183,0.00021673
Chaoyang City,1,0.000467818,0.000444427,2.34E-05,0.000194541,8.94E-05,8.57E-05,9.82E-05,2.02E-05,1.10E-04,0.000201706,0.000331906
Chaozhou City,1,4.54E-05,4.32E-05,2.27E-06,1.89E-05,8.69E-06,8.27E-06,9.57E-06,1.97E-06,1.31E-05,1.71E-05,0.00003217
Chenzhou City,1,0.000178647,0.000169715,8.93E-06,7.43E-05,3.42E-05,3.26E-05,3.75E-05,7.71E-06,4.18E-05,7.70E-05,0.00012651
Chengdu City,1,0.000838739,0.000796802,4.19E-05,0.000349129,0.000160309,0.000152811,0.000176489,7.31E-05,0.00010933,0.000201058,0.000383488
Chengde City,1,3.03E-04,2.88E-04,1.52E-05,1.26E-04,5.79E-05,5.53E-05,6.40E-05,1.30E-05,7.09E-05,1.31E-04,0.0002149
Chizhou City,1,0.000146742,0.000139405,7.34E-06,6.08E-05,2.83E-05,2.69E-05,3.07E-05,6.35E-06,3.42E-05,6.32E-05,0.00010375
Chifeng City,1,0.00042123,0.000400169,2.11E-05,0.000174884,8.06E-05,7.70E-05,8.88E-05,2.58E-05,8.07E-05,0.000148195,0.000254695
Chongzuo City,1,0.000105836,0.000100544,5.29E-06,4.38E-05,2.04E-05,1.93E-05,2.23E-05,4.58E-06,2.47E-05,4.56E-05,0.00007488
Chuzhou City,1,0.00042558,0.000404301,2.13E-05,0.000176592,8.16E-05,7.76E-05,8.98E-05,1.84E-05,9.96E-05,0.00018366,0.00030166
Chuxiong Yi Autonomous Prefecture,1,0.000310522,0.000294996,1.55E-05,0.000128892,5.95E-05,5.64E-05,6.57E-05,1.33E-05,7.26E-05,0.000134319,0.000220219
Dazhou City,1,0.001253674,0.00119099,6.27E-05,0.000520577,0.00024014,0.000229239,0.000263718,5.49E-05,0.000292491,0.000537313,0.000884704
Dali Bai Autonomous Prefecture,1,0.000363417,0.000345246,1.82E-05,0.000150533,7.00E-05,6.62E-05,7.66E-05,1.57E-05,8.47E-05,0.000156897,0.000257297
Dalian City,1,0.000279922,0.000265926,1.40E-05,0.000116005,5.36E-05,5.13E-05,5.90E-05,1.70E-05,6.61E-05,8.69E-05,0.000169997
Daqing City,1,7.42E-05,7.05E-05,3.71E-06,3.09E-05,1.42E-05,1.35E-05,1.57E-05,3.21E-06,1.74E-05,3.20E-05,0.00005261
Datong City,1,0.00016952,0.000161044,8.48E-06,7.04E-05,3.25E-05,3.09E-05,3.57E-05,7.37E-06,3.95E-05,7.29E-05,0.00011977
Dandong City,1,0.000365343,0.000347076,1.83E-05,0.000152345,6.99E-05,6.62E-05,7.69E-05,1.59E-05,0.000105717,0.000137029,0.000258646
Deyang City,1,0.000506432,0.00048111,2.53E-05,0.000210953,9.70E-05,9.19E-05,1.07E-04,2.18E-05,0.000118798,0.000218918,0.000359516
Dezhou City,1,0.00029354,0.000278863,1.47E-05,0.000122025,5.63E-05,5.35E-05,6.17E-05,1.79E-05,5.61E-05,0.000103407,0.000177407
Diqing Tibetan Autonomous Prefecture,1,8.38E-05,7.97E-05,4.19E-06,3.48E-05,1.61E-05,1.53E-05,1.76E-05,3.63E-06,1.96E-05,3.61E-05,0.00005933
Dingxi City,1,0.000521451,0.000495378,2.61E-05,0.000215965,0.000100049,9.53E-05,0.000110105,2.24E-05,0.000122929,0.00022551,0.000370839
Dongguan City,1,0.000255556,0.000242778,1.28E-05,0.000106154,4.88E-05,4.66E-05,5.39E-05,1.11E-05,7.35E-05,9.64E-05,0.00018101
Dongying City,1,4.65E-05,4.41E-05,2.32E-06,1.93E-05,8.88E-06,8.50E-06,9.80E-06,2.84E-06,1.10E-05,1.43E-05,0.00002814
Ordos City,1,0.000137278,0.000130414,6.86E-06,5.69E-05,2.63E-05,2.51E-05,2.90E-05,8.43E-06,2.61E-05,4.83E-05,0.00008283
Ezhou City,1,9.07E-05,8.62E-05,4.53E-06,3.77E-05,1.73E-05,1.66E-05,1.91E-05,3.93E-06,2.12E-05,3.90E-05,0.00006413
Enshi Tujia and Miao Autonomous Prefecture,1,0.000215938,0.000205141,1.08E-05,8.96E-05,4.12E-05,3.95E-05,4.56E-05,9.34E-06,5.06E-05,9.32E-05,0.00015314
Fangchenggang City,1,4.70E-05,4.47E-05,2.35E-06,1.95E-05,8.98E-06,8.61E-06,9.93E-06,2.04E-06,1.35E-05,1.77E-05,0.00003324
Foshan City,1,0.000349456,0.000331983,1.75E-05,0.000144882,6.70E-05,6.39E-05,7.37E-05,3.06E-05,4.54E-05,8.34E-05,0.0001594
