City,level,Total,car,airplane,Emission,ocean,oil,river
Altay Prefecture,1,0.295608283,0.295390356,0.000217927,0.293705947,0.028618822,0.212205345,0.05288178
Ankang City,1,0.130684353,0.128887796,0.001796557,0.129838539,0.013407692,0.091743573,0.024687274
Anqing City,1,0.261672995,0.261629639,4.34E-05,0.259897778,0.026392033,0.18475599,0.048749755
Anshun City,1,0.502283786,0.502149069,0.000134717,0.499601805,0.052623088,0.349917081,0.097061636
Anyang City,1,0.314380623,0.314380623,0,0.312685657,0.031625934,0.222579757,0.058479966
Anshan City,1,0.238999459,0.238961913,3.75E-05,0.237572729,0.024192644,0.168913959,0.044466126
Bayannur City,1,0.497695257,0.497684114,1.11E-05,0.494700118,0.050404493,0.351474745,0.09282088
Bazhong City,1,0.971878808,0.971761612,0.000117196,0.966224708,0.102839804,0.673379534,0.19000537
Baicheng City,1,0.096994382,0.096953023,4.14E-05,0.096424304,0.009726038,0.068741002,0.017957264
Baishan City,1,0.118537285,0.118527691,9.59E-06,0.11778442,0.011893072,0.083993617,0.021897731
Baiyin City,1,0.149837244,0.149837244,0,0.148803276,0.015069117,0.105967864,0.027766295
Baise City,1,0.524966002,0.524925361,4.06E-05,0.521711164,0.052914673,0.370935303,0.097861188
Bengbu City,1,0.107843938,0.107843938,0,0.107132258,0.010854958,0.076280874,0.019996426
Baotou City,1,0.689228916,0.689177114,5.18E-05,0.685153707,0.069304923,0.487980394,0.12786839
Baoji City,1,0.358863467,0.358863467,0,0.356632434,0.03629556,0.25365077,0.066686104
Baoding City,1,1.081177673,1.081177673,0,1.073807927,0.108929511,0.763973069,0.200905347
Baoshan City,1,0.225560004,0.225317884,0.00024212,0.224183977,0.022734942,0.159553112,0.041895923
Beihai City,1,0.222212662,0.222103057,0.000109606,0.220816738,0.027498527,0.156630714,0.036687497
Beijing,1,2.015370907,1.954083489,0.061287418,1.644083151,0.245288971,0.946742424,0.452051756
Benxi City,1,0.076360367,0.076360367,0,0.075903162,0.007721275,0.053954304,0.014227583
Bijie City,1,1.26925937,1.269116635,0.000142735,1.260791316,0.12697375,0.899850352,0.233967214
Binzhou City,1,0.507241359,0.507241359,0,0.504115803,0.061963702,0.358958005,0.083194096
Bozhou City,1,0.239905574,0.239905574,0,0.238312282,0.024246921,0.169538004,0.044527357
Cangzhou City,1,0.397409391,0.397409391,0,0.394789876,0.048515022,0.280843556,0.065431298
Chamdo City,1,0.569278198,0.569278198,0,0.565628353,0.057375401,0.402801104,0.105451848
Changde City,1,0.199032331,0.198614714,0.000417617,0.197632982,0.020058856,0.140555653,0.037018473
Changzhou City,1,0.300343701,0.300212865,0.000130836,0.298150365,0.03020737,0.212312747,0.055630248
Chaohu City,1,0.112764034,0.112764034,0,0.112038172,0.011310861,0.079926549,0.020800762
Chaoyang City,1,0.211010172,0.207783544,0.003226628,0.20970482,0.02151788,0.148658333,0.039528607
Chaozhou City,1,0.164835484,0.164835484,0,0.163797166,0.02028417,0.116493861,0.027019135
Chenzhou City,1,0.175420219,0.175420219,0,0.17439154,0.017750378,0.124023978,0.032617184
Chengdu City,1,2.064561515,2.063726072,0.000835443,2.015037568,0.196980251,1.455069244,0.362988073
Chengde City,1,0.513529529,0.513514711,1.48E-05,0.510481918,0.051537456,0.363886539,0.095057923
Chizhou City,1,0.071757035,0.071730606,2.64E-05,0.071264306,0.007283317,0.050627455,0.013353534
Chifeng City,1,2.834538994,2.834444136,9.49E-05,2.81428147,0.286532539,2.001362809,0.526386122
Chongzuo City,1,0.262081702,0.262081702,0,0.26049274,0.026380644,0.185679213,0.048432883
Chuzhou City,1,0.342236324,0.342236324,0,0.339974399,0.03463519,0.241442382,0.063896827
Chuxiong Yi Autonomous Prefecture,1,0.193212764,0.193212764,0,0.191940584,0.019550208,0.136519336,0.03587104
Dazhou City,1,0.246404931,0.246352244,5.27E-05,0.244854327,0.024858964,0.174407177,0.045588186
Dali Bai Autonomous Prefecture,1,0.320034768,0.319786403,0.000248364,0.3178584,0.032208219,0.226323709,0.059326472
Dalian City,1,1.260123696,1.259460545,0.000663151,1.251696712,0.153855222,0.892347807,0.205493683
Daqing City,1,0.405257038,0.405163779,9.33E-05,0.402831568,0.040692914,0.287009672,0.075128982
Datong City,1,0.557770764,0.557600993,0.000169771,0.554601329,0.056076464,0.395251863,0.103273002
Dandong City,1,0.167993847,0.167976426,1.74E-05,0.166881141,0.02055864,0.118925562,0.027396939
Deyang City,1,0.252001669,0.252001669,0,0.250243491,0.025411861,0.177902527,0.046929103
Dezhou City,1,0.947773224,0.947773224,0,0.941340792,0.085808729,0.698057337,0.157474726
Diqing Tibetan Autonomous Prefecture,1,0.088132612,0.087989173,0.000143439,0.087546697,0.008913376,0.062158925,0.016474396
Dingxi City,1,2.902782224,2.902782224,0,2.884024688,0.293765787,2.050947881,0.53931102
Dongguan City,1,1.816885582,1.816885582,0,1.805540525,0.230587104,1.264822775,0.310130646
Dongying City,1,0.495287641,0.495102911,0.00018473,0.491792803,0.059921337,0.351060992,0.080810474
Ordos City,1,0.501439388,0.501184373,0.000255015,0.4983782,0.05074278,0.354295726,0.093339694
Ezhou City,1,0.128976455,0.128976455,0,0.128267434,0.012984764,0.091445643,0.023837027
Enshi Tujia and Miao Autonomous Prefecture,1,0.417712603,0.417553986,0.000158617,0.415125162,0.043837874,0.290323823,0.080963465
Fangchenggang City,1,0.210342497,0.210342497,0,0.208947207,0.028097864,0.143503809,0.037345534
Foshan City,1,1.799405474,1.799376558,2.89E-05,1.756119696,0.170995826,1.271030528,0.314093342
Fuzhou City (Fujian),1,0.202434156,0.202262367,0.000171789,0.197536322,0.022451574,0.144899645,0.030185103
Fushun City,1,0.227019688,0.227019688,0,0.225664333,0.022905755,0.160626025,0.042132553
Fuzhou City (Jiangxi),1,0.111347075,0.111347075,0,0.110541399,0.012296078,0.075651469,0.022593852
Fuxin City,1,0.23186688,0.23186688,0,0.230226053,0.023292063,0.163985233,0.042948757
Fuyang City,1,0.250598625,0.250536896,6.17E-05,0.248910069,0.025236399,0.177203276,0.046470394
Ganzhou City,1,0.485053711,0.484971619,8.21E-05,0.482113884,0.053250888,0.330883879,0.097979117
Guyuan City,1,0.269522284,0.268952776,0.000569509,0.267811346,0.027209503,0.19033783,0.050264013
Guang'an City,1,0.239009566,0.239009566,0,0.237418886,0.024384059,0.168168574,0.044866253
Guangyuan City,1,0.542975778,0.542812524,0.000163253,0.539440442,0.054964793,0.383841452,0.100634197
Guangzhou City,1,1.777502469,1.773022974,0.004479495,1.455203152,0.197263045,0.994127144,0.263812963
Guigang City,1,0.279720589,0.279720589,0,0.277889052,0.02941878,0.194466624,0.054003648
Guiyang City,1,0.854809326,0.851864626,0.0029447,0.849391747,0.085643505,0.605432978,0.158315264
Guilin City,1,0.828040998,0.827852247,0.000188751,0.82250681,0.091034186,0.563783204,0.16768942
Harbin City,1,0.628035341,0.627839411,0.00019593,0.623502022,0.063436723,0.443036709,0.11702859
Hami City,1,0.479561351,0.479486601,7.48E-05,0.476387449,0.048244502,0.339290361,0.088852586
Haidong City,1,0.297710846,0.297710846,0,0.295858909,0.029826305,0.211031674,0.05500093
Haikou City,1,0.148903146,0.148414959,0.000488187,0.147934139,0.018335318,0.105181243,0.024417578
Handan City,1,0.818940942,0.818815374,0.000125567,0.814176898,0.082514658,0.579384113,0.152278127
Hanzhong City,1,0.360942874,0.360873611,6.93E-05,0.358297901,0.037999747,0.250618111,0.069680043
