City,GDP,Urban resident population,Urban area
Altay Prefecture,339.1612,7.45,24.59
Ankang City,1182.06,35.13,160
Anqing City,2380.5,64.67,311.5
Anshun City,923.94,46.49,160
Anyang City,2229.3,76.5,153
Anshan City,1745,143.24,625.6
Bayannur City,875.01,39.78,80.51
Bazhong City,754.29,46.37,162.3
Baicheng City,491.5546,26.61,67.5
Baishan City,509.6629,41.41,388.11
Baiyin City,486.3331,33.76,114
Baise City,1257.78,27.74,362.6
Bengbu City,2057.2,96.61,365.48
Baotou City,2714.47,194.45,885
Baoji City,2212.76,93.82,156.3
Baoding City,3772.2,165.53,344.93
Baoshan City,960.68,35.71,68
Beihai City,1300.8,53.09,957
Beijing,35371.3,1865,16410
Benxi City,781,81.45,1518
Bijie City,1901.36,44.78,170.08
Binzhou City,2457.19,88.81,799.9
Bozhou City,1749,37.05,86.9
Cangzhou City,3588,65.76,320
Chamdo City,220.96,11.1,18.2
Changde City,3624.2,79.25,332.07
Changzhou City,7400.86,227.58,772.51
Chaohu City,433.4321,36.12,48
Chaoyang City,843,52.13,570
Chaozhou City,1080.94,78.23,241.02
Chenzhou City,2410.9,66.92,580
Chengdu City,17012.65,816.97,1285.12
Chengde City,1471,57.15,724.03
Chizhou City,831.7,31.04,252.93
Chifeng City,7057.35,97.28,560
Chongzuo City,760.46,19.2,50
Chuzhou City,2909.1,55.57,282.6
Chuxiong Yi Autonomous Prefecture,1251.9,33.7,51.22
Dazhou City,2041.49,115.18,157.37
Dali Bai Autonomous Prefecture,1374.93,36.67,87.2
Dalian City,7002,441.49,1523
Daqing City,2568.3,144.07,325.21
Datong City,1021.9886,127.33,130.2
Dandong City,768,64.85,620.8
Deyang City,2335.91,64.47,193.59
Dezhou City,3022.27,102.92,602
Diqing Tibetan Autonomous Prefecture,251.2,9.58,61.1
Dingxi City,416.38,20.97,35.9
Dongguan City,1698.2,956.08,2460.08
Dongying City,2916.19,95.34,1388.2
Ordos City,3605.03,54.85,200.87
Ezhou City,1140.07,31.15,63.45
Enshi Tujia and Miao Autonomous Prefecture,1159.37,28.39,120
Fangchenggang City,701.23,25.74,238.33
Foshan City,10751.02,192.15,557.33
Fuzhou City (Fujian),9392.3,313.37,758.57
Fushun City,847,125.76,660.34
Fuzhou City (Jiangxi),1510.92,82.44,135.25
Fuxin City,488,75.94,448
Fuyang City,2705,102.49,338.87
Ganzhou City,3474.34,190.01,328.24
Guyuan City,322.6589,28.02,52.33
Guang'an City,1250.44,41.91,139.44
Guangyuan City,941.85,53.93,216.7
Guangzhou City,23628.6,1352.36,2202.03
Guigang City,1257.53,43.54,301.5
Guiyang City,4039.6,296.72,1230
Guilin City,2105.56,97.65,612.63
Harbin City,5249.4,492.61,467.3
Hami City,604.8153,24.63,71.17
Haidong City,487.73,25.04,147
Haikou City,1671.93,200,562.4
Handan City,3486,217.88,556
Hanzhong City,1560.45,57.37,131.64
Hangzhou City,15373.05,682.21,1726.96
Hefei City,9409.4,438.59,1126.61
Hechi City,878.1,34.78,124
Heyuan City,1080.03,34.52,41.21
Heze City,3409.98,96.41,444.56
Hezhou City,700.11,23.73,78
Hebi City,988.69,49.04,130.42
Hegang City,336.4,50.45,85
Heihe City,578.9,14.8,27.88
Hengshui City,1504.9,64.82,401.4
Hengyang City,3372.68,142.98,189
Honghe Hani and Yi Autonomous Prefecture,2211.99,37.67,38.85
Hohhot City,2791.46,221,265.03
Hulunbuir City,1507.4,32.1,240.5
Huludao City,807,54.83,380.4
Huzhou City,3122.43,94.35,640.69
Huaihua City,1616.64,62.6,65
Huai'an City,3871.21,167.85,309.69
Huaibei City,1077.9,74.64,210
Huainan City,1296.2,119.84,469.02
Huanggang City,2322.73,39.52,59.15
Huangshan City,818,41.11,461.8
Huangshi City,1767.19,67.14,233.8
Huizhou City,4192.93,255.99,1181.65
Jixi City,552,65.84,80.41
Ji'an City (Jiangxi),2085.41,49.7,230
Jilin City,1416.5563,126.96,498.75
Jinan City,9443.37,595.66,2340.01
Jining City,4370.17,159.1,883.87
Jiamusi City,762.9,59,188
Jiaxing City,5370.32,90.09,293
Jiayuguan City,283.4099,22.76,342
Jiangmen City,3146.64,127.19,566
Jiaozuo City,2761.11,80.91,140
Jieyang City,2101.77,92.16,372
Jinchang City,340.31,19.47,52.3
Jinhua City,4559.91,82.86,579.69
Jinzhou City,1073,93,436
Jincheng City,1362.4,50.28,142.59
Jinzhong City,1460,64.11,237
Jingmen City,2033.77,58.17,248.7
Jingzhou City,2516.48,91.03,93.87
Jingdezhen City,926.11,49.46,198.5
Jiujiang City,3121.05,82.89,554
Jiuquan City,618.2,38.98,235
Kashgar Prefecture,1048.322,40.23,91
Kaifeng City,2364.14,102.5,192.25
Karamay City,972.9252,45.79,77.2
Kizilsu Kirgiz Autonomous Prefecture,64.7309,9.35,20.3
Kunming City,6475.88,406.71,1782.6
Lhasa City,617.88,58.06,505.42
Laibin City,654.15,33.63,92
Lanzhou City,2837.3558,256.71,328.38
