City,Category,level,population,synthetic fibers,FrequencyMW,FrequencyHW,EF-MW,EF-HW,Load-MW,Load-HW,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,7.64801415,0.6842,76.01,63.02,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,31.12379895,0.6842,76.01,67.05,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,61.5029259,0.6842,76.01,69.77,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,27.5016678,0.6842,76.01,62.75,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,60.388245,0.6842,76.01,62.47,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,39.537429,0.6842,76.01,70.86,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,19.710537,0.6842,76.01,65.59,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,42.539388,0.6842,76.01,65.15,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,22.0958145,0.6842,76.01,68.85,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,13.5553575,0.6842,76.01,68.85,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baiyin City,Medium-small-cities,1,20.2550784,0.6842,76.01,66.46,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baise City,Medium-small-cities,1,42.9047427,0.6842,76.01,75.19,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bengbu City,Medium-small-cities,1,44.9479365,0.6842,76.01,69.77,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baotou City,Medium-small-cities,1,33.7080435,0.6842,76.01,65.59,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoji City,Medium-small-cities,1,43.7611155,0.6842,76.01,67.05,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoding City,Largecities,1,108.154935,0.6842,76.01,60.55,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoshan City,Medium-small-cities,1,30.601365,0.6842,76.01,68.55,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Beihai City,Medium-small-cities,1,19.78849485,0.6842,76.01,75.19,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Beijing,Megacities,1,99.1886844,0.6842,76.01,60.69,80,13.584,5,3.8,0.14,0.86,0.1,0.5,0.4,1,1,0.02,0.16,0.45,0.37,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Benxi City,Medium-small-cities,1,16.8132975,0.6842,76.01,70.86,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bijie City,Medium-small-cities,1,80.2802958,0.6842,76.01,62.75,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Binzhou City,Medium-small-cities,1,45.6460665,0.6842,76.01,64.29,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Bozhou City,Medium-small-cities,1,77.14220145,0.6842,76.01,69.77,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Cangzhou City,Largecities,1,76.75948035,0.6842,76.01,60.55,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Chamdo City,Medium-small-cities,1,8.49507855,0.6842,76.01,82.66,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Changde City,Largecities,1,58.727214,0.6842,76.01,66.17,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Changzhou City,Largecities,1,48.186432,0.6842,76.01,59.61,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chaohu City,Medium-small-cities,1,9.3456336,0.6842,76.01,69.77,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chaoyang City,Medium-small-cities,1,38.9672895,0.6842,76.01,70.86,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chaozhou City,Medium-small-cities,1,30.9481029,0.6842,76.01,73.23,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Chenzhou City,Medium-small-cities,1,55.3268025,0.6842,76.01,66.17,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chengdu City,Extra-large-cities,1,95.66105572,0.6842,76.01,65.15,80,13.584,5,3.8,0.29,0.71,0.15,0.55,0.3,1,1,0.02,0.02,0.93,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chengde City,Medium-small-cities,1,41.68650585,0.6842,76.01,60.55,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chizhou City,Medium-small-cities,1,18.88325295,0.6842,76.01,69.77,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chifeng City,Largecities,1,44.06474205,0.6842,76.01,65.59,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chongzuo City,Medium-small-cities,1,24.55439565,0.6842,76.01,75.19,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chuzhou City,Medium-small-cities,1,52.98224925,0.6842,76.01,69.77,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chuxiong Yi Autonomous Prefecture,Medium-small-cities,1,32.0558025,0.6842,76.01,68.55,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dazhou City,Medium-small-cities,1,76.631403,0.6842,76.01,65.15,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dali Bai Autonomous Prefecture,Medium-small-cities,1,42.1088745,0.6842,76.01,68.55,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dalian City,Largecities,1,60.9147315,0.6842,76.01,70.86,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Daqing City,Medium-small-cities,1,31.9627185,0.6842,76.01,68.55,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Datong City,Medium-small-cities,1,40.2937365,0.6842,76.01,70.23,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dandong City,Medium-small-cities,1,27.0990795,0.6842,76.01,70.86,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Deyang City,Medium-small-cities,1,44.7384975,0.6842,76.01,65.15,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dezhou City,Largecities,1,58.48811325,0.6842,76.01,64.29,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Diqing Tibetan Autonomous Prefecture,Medium-small-cities,1,4.6542,0.6842,76.01,68.55,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dingxi City,Medium-small-cities,1,32.8795959,0.6842,76.01,66.46,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Dongguan City,Medium-small-cities,1,98.48868975,0.6842,76.01,73.23,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Dongying City,Largecities,1,22.17735765,0.6842,76.01,64.29,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Ordos City,Largecities,1,21.2402862,0.6842,76.01,65.59,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ezhou City,Medium-small-cities,1,12.33013935,0.6842,76.01,71.96,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Enshi Tujia and Miao Autonomous Prefecture,Medium-small-cities,1,39.444345,0.6842,76.01,71.96,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Fangchenggang City,Medium-small-cities,1,11.2119678,0.6842,76.01,75.19,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Foshan City,Extra-large-cities,1,51.9510277,0.6842,76.01,73.23,80,13.584,5,3.8,0.29,0.71,0.15,0.55,0.3,1,1,0.02,0.02,0.93,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Fuzhou City (Fujian),Extra-large-cities,1,49.667592,0.6842,76.01,76.7,80,13.584,5,3.8,0.29,0.71,0.15,0.55,0.3,1,1,0.02,0.02,0.93,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Fushun City,Medium-small-cities,1,24.0505785,0.6842,76.01,70.86,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Fuzhou City (Jiangxi),Medium-small-cities,1,47.24013,0.6842,76.01,93.77,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Fuxin City,Medium-small-cities,1,21.3744135,0.6842,76.01,70.86,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Fuyang City,Medium-small-cities,1,125.3469144,0.6842,76.01,69.77,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ganzhou City,Largecities,1,88.599546,0.6842,76.01,93.77,80,13.584,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.67,0.28,0.03,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Guyuan City,Medium-small-cities,1,14.55016948,0.6842,76.01,58.56,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Guang'an City,Medium-small-cities,1,53.383674,0.6842,76.01,65.15,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Guangyuan City,Medium-small-cities,1,34.7552385,0.6842,76.01,65.15,80,13.584,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.98,0,0,1,0.888,0.112,0.9752,0.0248,0.9792,0.0208,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
