City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Car,Truck,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,12.0824,10.00871362,3966.035505,132,13768.38225,85,265.5822495,104,0.062001128,6896.495073,159,23941.6869,102,461.8180227,125,0.084064592,12779.44774,415,44364.78724,267,855.7650261,326,1.360952688,6610.059175,159,22947.30374,102,442.6370825,125,0.080433896,7711.735704,658,26771.85437,423,516.4099296,517,0.486234071,16525.14794,850,57368.25936,546,1106.592706,668,0.001746154,0.000644439,0.000217997,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,19.7762,17.73389067,2911.185217,132,14680.9918,85,407.8229825,104,0.050667417,5062.227628,159,25528.61352,102,709.1588528,125,0.125784809,9380.4857,415,47305.41802,267,1314.096277,326,1.299678172,4851.975362,159,24468.31967,102,679.7049708,125,0.048605371,5660.637922,658,28546.37295,423,792.9891326,517,0.51757356,12129.9384,850,61170.79917,546,1699.262427,668,0.000263078,0.000500026,0.001802287,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,57.3094,49.08328264,3637.980147,132,14006.90548,85,355.114372,104,0.156693991,6326.043255,159,24356.45231,102,617.5044358,125,0.360332741,11722.38047,415,45133.36211,267,1144.257421,326,4.882254892,6063.300245,159,23344.84247,102,591.8572867,125,0.201101196,7073.850285,658,27235.64955,423,690.5001678,517,2.625734537,15158.25061,850,58362.10617,546,1479.643217,668,0.000202983,0.000193231,4.35E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,30.0547,26.0219478,4508.210364,132,12838.45856,85,653.3310796,104,0.107244993,7839.276911,159,22324.65293,102,1136.070155,125,0.17647192,14526.45562,415,41368.36646,267,2105.177923,326,3.057333452,7513.68394,159,21397.43093,102,1088.885133,125,0.166258111,8765.964597,658,24963.66942,423,1270.365988,517,0.525443722,18784.20985,850,53493.57732,546,2722.212832,668,0.00120089,0.000726014,0.000134445,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,86.4084,76.26651595,5556.810836,132,11999.76912,85,443.42004,104,0.19646469,9662.67662,159,20866.2652,102,771.0581807,125,0.426301463,17905.27936,415,38665.92273,267,1428.797907,326,6.19698074,9261.351393,159,19999.61521,102,739.0334,125,0.213150732,10804.90996,658,23332.88441,423,862.2056334,517,3.108986429,23153.37848,850,49999.03802,546,1847.5835,668,0.00025292,9.85E-05,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,62.1968,54.16211227,4966.511766,132,12305.12177,85,728.3664664,104,0.291748213,8636.212127,159,21397.23952,102,1266.548355,125,0.544306367,16003.20458,415,39649.83681,267,2346.958614,326,4.505405239,8277.519611,159,20508.53628,102,1213.944111,125,0.32222937,9657.106212,658,23926.62566,423,1416.268129,517,2.370998537,20693.79903,850,51271.3407,546,3034.860277,668,0.000106287,0.000223209,3.75E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,36.9,32.35197114,5165.579585,132,12503.84948,85,330.5709343,104,0.077815539,8982.368945,159,21742.80493,102,574.8261246,125,0.195503503,16644.64533,415,40290.18166,267,1065.17301,326,2.855380111,8609.299308,159,20839.74913,102,550.9515571,125,0.094536233,10044.18253,658,24313.04066,423,642.7768166,517,1.324793475,21523.24827,850,52099.37284,546,1377.378893,668,0.001179424,0.000188463,1.11E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,44.98,40.29607673,2862.550098,132,14756.94073,85,380.5091723,104,0.08262418,4977.656559,159,25660.68027,102,661.6631719,125,0.290882387,9223.772538,415,47550.14235,267,1226.085111,326,3.00616195,4770.91683,159,24594.90122,102,634.1819539,125,0.235799601,5566.069635,658,28694.05142,423,739.8789462,517,1.068455151,11927.29208,850,61487.25304,546,1585.454885,668,0.001572564,0.000908715,0.000116966,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,28.6851,25.37144774,5568.512874,132,11901.65295,85,529.8341757,104,0.08560428,9683.025164,159,20695.65207,102,921.3227611,125,0.230620487,17942.98593,415,38349.77062,267,1707.243455,326,1.905014659,9280.85479,159,19836.08825,102,883.0569595,125,0.116907338,10827.66392,658,23142.10296,423,1030.233119,517,0.975505494,23202.13698,850,49590.22063,546,2207.642399,668,9.13E-05,0.000215667,4.13E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,14.5408,12.86107238,4537.593497,132,12789.39346,85,673.0130387,104,0.043393773,7890.370913,159,22239.33419,102,1170.294895,125,0.11690412,14621.1346,415,41210.26783,267,2168.597569,326,0.965673369,7562.655828,159,21315.65577,102,1121.688398,125,0.059261645,8823.098466,658,24868.26507,423,1308.636464,517,0.494494713,18906.63957,850,53289.13944,546,2804.220995,668,0.00028602,0.000484507,9.54E-06,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
