City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Car,Truck,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,12.0824,10.00871362,2214.323187,132,13768.38225,85,217.2945678,104,0.062001128,3850.461986,159,23941.6869,102,377.8511095,125,0.084064592,7135.04138,415,44364.78724,267,700.171385,326,1.360952688,3690.538645,159,22947.30374,102,362.1576129,125,0.080433896,4305.628419,658,26771.85437,423,422.5172151,517,0.486234071,9226.346612,850,57368.25936,546,905.3940324,668,0.001746154,0.000644439,0.000217997,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,19.7762,17.73389067,1185.33485,132,14680.9918,85,333.6733493,104,0.050667417,2061.165601,159,25528.61352,102,580.2208796,125,0.125784809,3819.412296,415,47305.41802,267,1075.169681,326,1.299678172,1975.558084,159,24468.31967,102,556.1222488,125,0.048605371,2304.817765,658,28546.37295,423,648.8092903,517,0.51757356,4938.89521,850,61170.79917,546,1390.305622,668,0.000263078,0.000500026,0.001802287,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,57.3094,49.08328264,1902.546396,132,14006.90548,85,290.5481226,104,0.156693991,3308.316789,159,24356.45231,102,505.230902,125,0.360332741,6130.427277,415,45133.36211,267,936.2106172,326,4.882254892,3170.91066,159,23344.84247,102,484.246871,125,0.201101196,3699.39577,658,27235.64955,423,564.9546828,517,2.625734537,7927.276651,850,58362.10617,546,1210.617177,668,0.000202983,0.000193231,4.35E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,30.0547,26.0219478,2826.997833,132,12838.45856,85,534.5436106,104,0.107244993,4915.835121,159,22324.65293,102,929.511945,125,0.17647192,9109.21524,415,41368.36646,267,1722.418301,326,3.057333452,4711.663055,159,21397.43093,102,890.9060176,125,0.166258111,5496.940231,658,24963.66942,423,1039.390354,517,0.525443722,11779.15764,850,53493.57732,546,2227.265044,668,0.00120089,0.000726014,0.000134445,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,86.4084,76.26651595,3837.432661,132,11999.76912,85,362.7982146,104,0.19646469,6672.869016,159,20866.2652,102,630.8657842,125,0.426301463,12365.0608,415,38665.92273,267,1169.016469,326,6.19698074,6395.721102,159,19999.61521,102,604.6636909,125,0.213150732,7461.674619,658,23332.88441,423,705.4409728,517,3.108986429,15989.30276,850,49999.03802,546,1511.659227,668,0.00025292,9.85E-05,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,62.1968,54.16211227,3298.942033,132,12305.12177,85,595.9361998,104,0.291748213,5736.493646,159,21397.23952,102,1036.266836,125,0.544306367,10629.92433,415,39649.83681,267,1920.238866,326,4.505405239,5498.236722,159,20508.53628,102,993.2269997,125,0.32222937,6414.609508,658,23926.62566,423,1158.764833,517,2.370998537,13745.5918,850,51271.3407,546,2483.067499,668,0.000106287,0.000223209,3.75E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,36.9,32.35197114,3425.683391,132,12503.84948,85,270.467128,104,0.077815539,5956.882785,159,21742.80493,102,470.3122837,125,0.195503503,11038.31315,415,40290.18166,267,871.5051903,326,2.855380111,5709.472318,159,20839.74913,102,450.7785467,125,0.094536233,6661.051038,658,24313.04066,423,525.9083045,517,1.324793475,14273.6808,850,52099.37284,546,1126.946367,668,0.001179424,0.000188463,1.11E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,44.98,40.29607673,1131.733584,132,14756.94073,85,311.3256864,104,0.08262418,1967.958954,159,25660.68027,102,541.360777,125,0.290882387,3646.697104,415,47550.14235,267,1003.160545,326,3.00616195,1886.22264,159,24594.90122,102,518.8761441,125,0.235799601,2200.59308,658,28694.05142,423,605.3555014,517,1.068455151,4715.5566,850,61487.25304,546,1297.19036,668,0.001572564,0.000908715,0.000116966,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,28.6851,25.37144774,3864.846361,132,11901.65295,85,433.5006892,104,0.08560428,6720.538394,159,20695.65207,102,753.8095318,125,0.230620487,12453.39383,415,38349.77062,267,1396.835554,326,1.905014659,6441.410601,159,19836.08825,102,722.5011487,125,0.116907338,7514.979034,658,23142.10296,423,842.9180068,517,0.975505494,16103.5265,850,49590.22063,546,1806.252872,668,9.13E-05,0.000215667,4.13E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,14.5408,12.86107238,2859.959504,132,12789.39346,85,550.6470317,104,0.043393773,4973.151803,159,22239.33419,102,957.5140051,125,0.11690412,9215.425067,415,41210.26783,267,1774.307102,326,0.965673369,4766.599173,159,21315.65577,102,917.7450528,125,0.059261645,5561.032368,658,24868.26507,423,1070.702562,517,0.494494713,11916.49793,850,53289.13944,546,2294.362632,668,0.00028602,0.000484507,9.54E-06,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
