City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Car,Truck,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,12.0824,10.00871362,2706.395006,132,16828.02274,85,265.5822495,104,0.062001128,4706.120205,159,29262.06177,102,461.8180227,125,0.084064592,8720.606131,415,54223.62884,267,855.7650261,326,1.360952688,4510.658344,159,28046.70457,102,442.6370825,125,0.080433896,5262.434734,658,32721.15534,423,516.4099296,517,0.486234071,11276.64586,850,70116.76143,546,1106.592706,668,0.001746154,0.000644439,0.000217997,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,19.7762,17.73389067,1448.742595,132,17943.43442,85,407.8229825,104,0.050667417,2519.202401,159,31201.63875,102,709.1588528,125,0.125784809,4668.170583,415,57817.73314,267,1314.096277,326,1.299678172,2414.570991,159,29905.72404,102,679.7049708,125,0.048605371,2816.99949,658,34890.01138,423,792.9891326,517,0.51757356,6036.427479,850,74764.31009,546,1699.262427,668,0.000263078,0.000500026,0.001802287,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,57.3094,49.08328264,2325.334484,132,17119.55114,85,355.114372,104,0.156693991,4043.498298,159,29768.99727,102,617.5044358,125,0.360332741,7492.744449,415,55162.99813,267,1144.257421,326,4.882254892,3875.557474,159,28532.58524,102,591.8572867,125,0.201101196,4521.483719,658,33288.01611,423,690.5001678,517,2.625734537,9688.893684,850,71331.4631,546,1479.643217,668,0.000202983,0.000193231,4.35E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,30.0547,26.0219478,3455.219574,132,15691.44935,85,653.3310796,104,0.107244993,6008.242925,159,27285.68692,102,1136.070155,125,0.17647192,11133.48529,415,50561.33678,267,2105.177923,326,3.057333452,5758.699289,159,26152.41558,102,1088.885133,125,0.166258111,6718.482504,658,30511.15151,423,1270.365988,517,0.525443722,14396.74822,850,65381.03895,546,2722.212832,668,0.00120089,0.000726014,0.000134445,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,86.4084,76.26651595,4690.195475,132,14666.38449,85,443.42004,104,0.19646469,8155.728798,159,25503.21302,102,771.0581807,125,0.426301463,15112.85209,415,47258.35001,267,1428.797907,326,6.19698074,7816.992458,159,24443.97414,102,739.0334,125,0.213150732,9119.824534,658,28517.96983,423,862.2056334,517,3.108986429,19542.48115,850,61109.93535,546,1847.5835,668,0.00025292,9.85E-05,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,62.1968,54.16211227,4032.040262,132,15039.59327,85,728.3664664,104,0.291748213,7011.270012,159,26152.18163,102,1266.548355,125,0.544306367,12992.12973,415,48460.91165,267,2346.958614,326,4.505405239,6720.067104,159,25065.98879,102,1213.944111,125,0.32222937,7840.078288,658,29243.65358,423,1416.268129,517,2.370998537,16800.16776,850,62664.97196,546,3034.860277,668,0.000106287,0.000223209,3.75E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,36.9,32.35197114,4186.946367,132,15282.4827,85,330.5709343,104,0.077815539,7280.634516,159,26574.53936,102,574.8261246,125,0.195503503,13491.27163,415,49243.55536,267,1065.17301,326,2.855380111,6978.243945,159,25470.8045,102,550.9515571,125,0.094536233,8141.284602,658,29715.93858,423,642.7768166,517,1.324793475,17445.60986,850,63677.01125,546,1377.378893,668,0.001179424,0.000188463,1.11E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,44.98,40.29607673,1383.229936,132,18036.26089,85,380.5091723,104,0.08262418,2405.283166,159,31363.05366,102,661.6631719,125,0.290882387,4457.074238,415,58116.84065,267,1226.085111,326,3.00616195,2305.383227,159,30060.43482,102,634.1819539,125,0.235799601,2689.613764,658,35070.50729,423,739.8789462,517,1.068455151,5763.458067,850,75151.08705,546,1585.454885,668,0.001572564,0.000908715,0.000116966,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,28.6851,25.37144774,4723.701107,132,14546.46472,85,529.8341757,104,0.08560428,8213.99137,159,25294.68587,102,921.3227611,125,0.230620487,15220.81468,415,46871.94187,267,1707.243455,326,1.905014659,7872.835179,159,24244.10786,102,883.0569595,125,0.116907338,9184.974375,658,28284.79251,423,1030.233119,517,0.975505494,19682.08795,850,60610.26965,546,2207.642399,668,9.13E-05,0.000215667,4.13E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,14.5408,12.86107238,3495.50606,132,15631.4809,85,673.0130387,104,0.043393773,6078.296649,159,27181.40846,102,1170.294895,125,0.11690412,11263.2973,415,50368.10513,267,2168.597569,326,0.965673369,5825.843433,159,26052.46817,102,1121.688398,125,0.059261645,6796.817339,658,30394.5462,423,1308.636464,517,0.494494713,14564.60858,850,65131.17042,546,2804.220995,668,0.00028602,0.000484507,9.54E-06,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
