City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Car,Truck,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,10.87416,9.007842262,2460.359096,132,15298.20249,85,241.4384086,104,0.055801015,4278.291096,159,26601.87434,102,419.8345661,125,0.075658133,7927.823755,415,49294.20804,267,777.9682056,326,1.224857419,4100.598494,159,25497.00416,102,402.3973477,125,0.072390506,4784.031576,658,29746.50485,423,469.4635723,517,0.437610664,10251.49624,850,63742.5104,546,1005.993369,668,0.001746154,0.000644439,0.000217997,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,17.79858,15.9605016,1317.038723,132,16312.21311,85,370.7481659,104,0.045600676,2290.184001,159,28365.12613,102,644.6898662,125,0.113206329,4243.791439,415,52561.57558,267,1194.632979,326,1.169710355,2195.064538,159,27187.02185,102,617.9136098,125,0.043744834,2560.908627,658,31718.19216,423,720.8992114,517,0.465816204,5487.661344,850,67967.55463,546,1544.784024,668,0.000263078,0.000500026,0.001802287,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,51.57846,44.17495438,2113.94044,132,15563.22831,85,322.8312473,104,0.141024592,3675.907543,159,27062.72479,102,561.3676689,125,0.324299467,6811.585863,415,50148.18012,267,1040.234019,326,4.394029402,3523.234067,159,25938.71385,102,538.0520788,125,0.180991076,4110.439745,658,30261.83283,423,627.7274253,517,2.363161083,8808.085168,850,64846.78464,546,1345.130197,668,0.000202983,0.000193231,4.35E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,27.04923,23.41975302,3141.108703,132,14264.95395,85,593.9373451,104,0.096520494,5462.039023,159,24805.16993,102,1032.79105,125,0.158824728,10121.35027,415,45964.85162,267,1913.798112,326,2.751600106,5235.181172,159,23774.92325,102,989.8955751,125,0.1496323,6107.711368,658,27737.41046,423,1154.878171,517,0.47289935,13087.95293,850,59437.30813,546,2474.738938,668,0.00120089,0.000726014,0.000134445,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,77.76756,68.63986435,4263.814068,132,13333.0768,85,403.1091273,104,0.176818221,7414.298907,159,23184.73911,102,700.9619825,125,0.383671317,13738.95644,415,42962.13637,267,1298.907188,326,5.577282666,7106.35678,159,22221.79467,102,671.8485455,125,0.191835658,8290.749577,658,25925.42712,423,783.8233031,517,2.798087786,17765.89195,850,55554.48669,546,1679.621364,668,0.00025292,9.85E-05,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,55.97712,48.74590105,3665.491148,132,13672.35752,85,662.1513331,104,0.262573392,6373.881829,159,23774.71058,102,1151.407596,125,0.489875731,11811.02703,415,44055.37423,267,2133.59874,326,4.054864715,6109.151913,159,22787.26253,102,1103.585555,125,0.290006433,7127.343898,658,26585.13962,423,1287.516481,517,2.133898683,15272.87978,850,56968.15633,546,2758.963888,668,0.000106287,0.000223209,3.75E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,33.21,29.11677402,3806.314879,132,13893.16609,85,300.5190311,104,0.070033985,6618.758651,159,24158.67215,102,522.5692042,125,0.175953153,12264.79239,415,44766.86851,267,968.3391003,326,2.5698421,6343.858131,159,23155.27682,102,500.8650519,125,0.08508261,7401.16782,658,27014.48962,423,584.3425606,517,1.192314127,15859.64533,850,57888.19204,546,1252.16263,668,0.001179424,0.000188463,1.11E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,40.482,36.26646906,1257.48176,132,16396.60081,85,345.9174294,104,0.074361762,2186.62106,159,28511.86697,102,601.5119744,125,0.261794149,4051.885671,415,52833.4915,267,1114.622828,326,2.705545755,2095.802933,159,27327.66802,102,576.529049,125,0.212219641,2445.103422,658,31882.27935,423,672.6172238,517,0.961609636,5239.507333,850,68319.17004,546,1441.322622,668,0.001572564,0.000908715,0.000116966,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,25.81659,22.83430297,4294.273734,132,13224.05883,85,481.6674325,104,0.077043852,7467.264882,159,22995.16897,102,837.5661465,125,0.207558438,13837.10425,415,42610.85624,267,1552.039505,326,1.714513193,7157.12289,159,22040.09806,102,802.7790541,125,0.105216604,8349.976705,658,25713.44773,423,936.5755632,517,0.877954945,17892.80722,850,55100.24514,546,2006.947635,668,9.13E-05,0.000215667,4.13E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,13.08672,11.57496514,3177.732782,132,14210.43718,85,611.8300352,104,0.039054396,5525.724226,159,24710.37132,102,1063.90445,125,0.105213708,10239.36119,415,45789.18648,267,1971.452336,326,0.869106032,5296.221303,159,23684.06197,102,1019.716725,125,0.053335481,6178.924853,658,27631.40563,423,1189.669513,517,0.445045242,13240.55326,850,59210.15493,546,2549.291813,668,0.00028602,0.000484507,9.54E-06,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
