Parameters,Score,
Consumption-yagao,0.15 ,
Consumption-myl,0.15 ,
Consumption-msg,0.15 ,
Consumption-xmn,0.15 ,
PCPpercent,0.15 ,
PPUW-yagao,0.15 ,
PPUW-myl,0.15 ,
PPUW-msg,0.15 ,
PPUW-xmn,0.15 ,
PMs-yagao,0.13 ,
PMs-myl,0.13 ,
PMs-msg,0.13 ,
PMs-xmn,0.13 ,
EF-yagao,0.13 ,
EF-myl,0.13 ,
EF-msg,0.13 ,
EF-xmn,0.13 ,
TC13,0.43 ,
TC14,0.43 ,
TC23,0.43 ,
TC24,0.43 ,
TC25,0.43 ,
TC313,0.50 ,
TC46,0.16 ,
TC47,0.16 ,
TC48,0.16 ,
TC49,0.16 ,
TC514,0.10 ,
TC515,0.10 ,
TC516,0.10 ,
TC613,0.50 ,
TC710,0.16 ,
TC713,0.16 ,
TC810,0.16 ,
TC813,0.16 ,
TC910,0.16 ,
TC913,0.16 ,
TC1011,0.16 ,
TC1012,0.16 ,
TC1116,0.50 ,
TC1318,0.42 ,
TC1319,0.42 ,
TC1617,0.46 ,
TC1618,0.46 ,
TC1819,0.16 ,
TC1820,0.16 ,
,,
